"Localidade","IBGE","nota_2015","meta_2015"
"Lagoa da Confusão",1711902,4.7,5.1
"Lagoa do Tocantins",1711951,3.6,3.7
"Lajeado",1712009,4.6,5
"Lavandeira",1712157,5,5.4
"Lizarda",1712405,4.3,4.3
"Luzinópolis",1712454,4.5,5.2
"Marianópolis do Tocantins",1712504,4.4,4.8
"Mateiros",1712702,3.7,3.9
"Maurilândia do Tocantins",1712801,3.7,4.4
"Miracema do Tocantins",1713205,5,5.3
"Miranorte",1713304,4.6,4.9
"Monte do Carmo",1713601,4.2,4.7
"Monte Santo do Tocantins",1713700,5,4.7
"Palmeiras do Tocantins",1713809,4.1,4.5
"Muricilândia",1713957,0,4.3
"Natividade",1714203,5.5,5
"Nazaré",1714302,5.1,5.4
"Nova Olinda",1714880,4,4.5
"Nova Rosalândia",1715002,4.8,5.4
"Novo Acordo",1715101,4.6,4.5
"Novo Alegre",1715150,5.6,5.6
"Novo Jardim",1715259,3.3,4.3
"Oliveira de Fátima",1715507,3.6,4.3
"Palmeirante",1715705,3.9,5.1
"Palmeirópolis",1715754,5.5,6.1
"Paraíso do Tocantins",1716109,5.9,5.5
"Paranã",1716208,4.2,4.7
"Pau d'Arco",1716307,4.4,4.8
"Pedro Afonso",1716505,5.3,4.7
"Peixe",1716604,4.4,4.9
"Pequizeiro",1716653,4.8,4.8
"Colméia",1716703,4.8,4.6
"Pindorama do Tocantins",1717008,4.7,4
"Piraquê",1717206,4.6,4.1
"Pium",1717503,4.5,5.3
"Ponte Alta do Bom Jesus",1717800,4.7,4.9
"Ponte Alta do Tocantins",1717909,4.4,4.7
"Porto Alegre do Tocantins",1718006,4.5,4.3
"Porto Nacional",1718204,4.9,5.3
"Praia Norte",1718303,4.2,4.4
"Presidente Kennedy",1718402,5.1,5.4
"Pugmil",1718451,4.1,4.7
"Recursolândia",1718501,4.3,4.5
"Riachinho",1718550,4.1,4.8
"Rio da Conceição",1718659,3.9,4.5
"Rio dos Bois",1718709,5,4.9
"Rio Sono",1718758,4.7,5
"Sampaio",1718808,4.4,4.3
"Sandolândia",1718840,4.4,5.4
"Santa Fé do Araguaia",1718865,4.5,4.7
"Santa Maria do Tocantins",1718881,3.7,4.5
"Santa Rita do Tocantins",1718899,4.4,4.2
"Santa Rosa do Tocantins",1718907,4.7,4.7
"Santa Tereza do Tocantins",1719004,4.1,4.3
"Santa Terezinha do Tocantins",1720002,4.1,4.5
"São Bento do Tocantins",1720101,4.2,4.5
"São Félix do Tocantins",1720150,4.5,3.3
"São Miguel do Tocantins",1720200,3.8,4.2
"São Salvador do Tocantins",1720259,4.4,4.6
"São Sebastião do Tocantins",1720309,4.1,5
"São Valério",1720499,5.6,5.9
"Silvanópolis",1720655,4.8,4.6
"Sítio Novo do Tocantins",1720804,4.2,4.5
"Sucupira",1720853,4.6,4.4
"Taguatinga",1720903,4.5,4.5
"Taipas do Tocantins",1720937,3.9,4
"Talismã",1720978,4.5,5.3
"Palmas",1721000,6,5.4
"Tocantínia",1721109,4.2,4.7
"Tocantinópolis",1721208,5,5.7
"Tupirama",1721257,4.4,4.4
"Tupiratins",1721307,4.4,4.8
"Wanderlândia",1722081,4.9,5
"Xambioá",1722107,4.9,4.8
"Açailândia",2100055,4.9,4.9
"Afonso Cunha",2100105,4,4.2
"Água Doce do Maranhão",2100154,4.2,4.5
"Alcântara",2100204,4.4,4.3
"Aldeias Altas",2100303,3.9,3.7
"Altamira do Maranhão",2100402,3.7,4.8
"Alto Alegre do Maranhão",2100436,3.9,4
"Alto Alegre do Pindaré",2100477,5,6.3
"Alto Parnaíba",2100501,4.7,4
"Amapá do Maranhão",2100550,3.7,3.9
"Amarante do Maranhão",2100600,4.2,4.2
"Anajatuba",2100709,4.8,4.4
"Anapurus",2100808,4,4.2
"Apicum-Açu",2100832,4,4.2
"Araguanã",2100873,4.2,4.1
"Araioses",2100907,4.1,4.3
"Arame",2100956,3.6,3.9
"Arari",2101004,4.9,4.6
"Axixá",2101103,4.9,4.2
"Bacabal",2101202,4.8,4.1
"Bacabeira",2101251,4.5,5
"Bacuri",2101301,4.1,4.3
"Bacurituba",2101350,4.8,4.5
"Balsas",2101400,4.5,4.7
"Barão de Grajaú",2101509,5.5,4.2
"Barra do Corda",2101608,4.4,4.5
"Barreirinhas",2101707,4.6,5.2
"Belágua",2101731,3.6,3.9
"Bela Vista do Maranhão",2101772,3.9,4.6
"Benedito Leite",2101806,3.6,4.5
"Bequimão",2101905,4.5,4.8
"Bernardo do Mearim",2101939,4.4,4.8
"Boa Vista do Gurupi",2101970,3.8,3.9
"Bom Jardim",2102002,0,4.3
"Bom Jesus das Selvas",2102036,3.8,4.1
"Bom Lugar",2102077,4.3,4.6
"Brejo",2102101,3.6,3.7
"Brejo de Areia",2102150,3.6,4.7
