"Localidade","IBGE","nota_2015","meta_2015"
"Macaúbas",2919801,5.5,4
"Macururé",2919900,4.3,3.8
"Madre de Deus",2919926,4.9,5
"Maetinga",2919959,5.3,4.7
"Maiquinique",2920007,5.1,3.8
"Mairi",2920106,4.3,3.9
"Malhada",2920205,4.5,4.5
"Malhada de Pedras",2920304,5.6,3.8
"Manoel Vitorino",2920403,4.1,3.8
"Mansidão",2920452,4.4,5.1
"Maracás",2920502,4.7,3.8
"Maragogipe",2920601,3.9,3.5
"Maraú",2920700,4.2,3.8
"Marcionílio Souza",2920809,4.6,3.8
"Mascote",2920908,3.6,3.6
"Mata de São João",2921005,5.1,3.7
"Matina",2921054,4.8,3.9
"Medeiros Neto",2921104,5,3.9
"Miguel Calmon",2921203,4,4.5
"Milagres",2921302,4.1,4.1
"Mirangaba",2921401,4.4,3.9
"Mirante",2921450,5.2,3.8
"Monte Santo",2921500,3.6,4.4
"Morpará",2921609,4.4,4
"Morro do Chapéu",2921708,4.7,4.3
"Mortugaba",2921807,6,5.6
"Mucugê",2921906,5,5
"Mucuri",2922003,4.3,4.3
"Mulungu do Morro",2922052,4.3,4.7
"Mundo Novo",2922102,4.4,3.9
"Muniz Ferreira",2922201,4.2,4
"Muquém de São Francisco",2922250,4.5,3.5
"Muritiba",2922300,4.3,4.6
"Mutuípe",2922409,4.7,4.3
"Nazaré",2922508,4.1,4.3
"Nilo Peçanha",2922607,4.3,3.8
"Nordestina",2922656,4.2,4.1
"Nova Canaã",2922706,3.8,3.9
"Nova Fátima",2922730,3.8,4.3
"Nova Ibiá",2922755,4.6,4.4
"Nova Itarana",2922805,4.1,3.6
"Nova Redenção",2922854,4.4,4.1
"Nova Soure",2922904,4.4,4.2
"Nova Viçosa",2923001,4.8,4.4
"Novo Horizonte",2923035,6.3,4.8
"Novo Triunfo",2923050,3.4,3.7
"Olindina",2923100,4.3,3.7
"Oliveira dos Brejinhos",2923209,4.5,3.9
"Ouriçangas",2923308,3.7,4.1
"Ourolândia",2923357,4.1,4
"Palmas de Monte Alto",2923407,4.4,4.7
"Palmeiras",2923506,4.7,5.3
"Paramirim",2923605,5.1,4.4
"Paratinga",2923704,4.4,4.1
"Paripiranga",2923803,5,3.9
"Pau Brasil",2923902,4.7,4
"Paulo Afonso",2924009,5,4.8
"Pé de Serra",2924058,0,4.2
"Pedrão",2924108,0,3.8
"Pedro Alexandre",2924207,3.5,3.9
"Piatã",2924306,6.1,4.8
"Pilão Arcado",2924405,3.3,4.2
"Pindaí",2924504,4.8,3.9
"Pindobaçu",2924603,4.5,3.7
"Pintadas",2924652,4.7,4.6
"Piraí do Norte",2924678,3.5,4
"Piripá",2924702,5.1,4.3
"Piritiba",2924801,3.7,3.9
"Planaltino",2924900,4.7,4
"Planalto",2925006,4.3,4
"Poções",2925105,4.4,4.3
"Pojuca",2925204,4.2,4.4
"Ponto Novo",2925253,3.4,4.1
"Porto Seguro",2925303,4.4,4.4
"Potiraguá",2925402,4.2,3.6
"Prado",2925501,4,4.3
"Presidente Dutra",2925600,4.6,5.3
"Presidente Jânio Quadros",2925709,4.3,4.3
"Presidente Tancredo Neves",2925758,4.8,3.8
"Queimadas",2925808,3.9,3.8
"Quijingue",2925907,3.9,4.4
"Quixabeira",2925931,4.4,3.7
"Rafael Jambeiro",2925956,3.5,4
"Remanso",2926004,4.2,4
"Retirolândia",2926103,4.3,3.6
"Riachão das Neves",2926202,4.1,3.9
"Riachão do Jacuípe",2926301,4.4,4.4
"Riacho de Santana",2926400,5.5,4.2
"Ribeira do Amparo",2926509,3.7,4
"Ribeira do Pombal",2926608,5,4.4
"Ribeirão do Largo",2926657,3.7,4.2
"Rio de Contas",2926707,5.6,4.9
"Rio do Antônio",2926806,4.7,4.3
"Rio do Pires",2926905,3.9,4.4
"Rio Real",2927002,5,4.6
"Rodelas",2927101,4.1,4.4
"Ruy Barbosa",2927200,3.9,3.8
"Salinas da Margarida",2927309,0,4.1
"Salvador",2927408,4.7,4.2
"Santa Bárbara",2927507,3.7,4.2
"Santa Brígida",2927606,4.3,3.7
"Santa Cruz Cabrália",2927705,4,4.7
"Santa Cruz da Vitória",2927804,4.3,4.4
"Santa Inês",2927903,3.8,4
"Santaluz",2928000,4.5,3.9
"Santa Luzia",2928059,3.9,3.4
"Santa Maria da Vitória",2928109,4.7,4
"Santana",2928208,4,4.4
"Santanópolis",2928307,3.9,4
"Santa Rita de Cássia",2928406,4.3,4.3
"Santa Teresinha",2928505,4.3,4.5
"Santo Amaro",2928604,4.3,4.1
"Santo Antônio de Jesus",2928703,4.4,4.5
"Santo Estêvão",2928802,4,4
"São Desidério",2928901,4.5,5
"São Domingos",2928950,4.4,4.3
"São Félix",2929008,4,4.2
"São Félix do Coribe",2929057,5.3,4.8
"São Felipe",2929107,5.5,4.2
"São Francisco do Conde",2929206,4.5,4.1
"São Gabriel",2929255,4.8,4.9
"São Gonçalo dos Campos",2929305,4,4.5
"São José da Vitória",2929354,3.8,3.5
"São José do Jacuípe",2929370,4,3.9
"São Miguel das Matas",2929404,4.3,3.6
"São Sebastião do Passé",2929503,4.1,4.4
"Sapeaçu",2929602,4.3,3.7
"Sátiro Dias",2929701,4.5,4.2
"Saubara",2929750,4,4
"Saúde",2929800,3.4,4
"Seabra",2929909,5.6,4.7
"Sebastião Laranjeiras",2930006,0,4.3
"Senhor do Bonfim",2930105,3.7,4.4
"Serra do Ramalho",2930154,4.5,4
"Sento Sé",2930204,4.1,4
"Serra Dourada",2930303,4.5,4.4
"Serra Preta",2930402,3.8,3.8
"Serrinha",2930501,3.7,3.8
"Serrolândia",2930600,4.5,3.6
"Simões Filho",2930709,4.3,4.1
"Sítio do Mato",2930758,4.2,3.5
"Sítio do Quinto",2930766,3.9,4.5
"Sobradinho",2930774,4.3,4.8
"Souto Soares",2930808,5.3,4.1
"Tabocas do Brejo Velho",2930907,4.5,5.1
"Tanhaçu",2931004,4.6,4.6
"Tanque Novo",2931053,5.1,4.9
"Tanquinho",2931103,4,4
"Taperoá",2931202,4,4.2
"Tapiramutá",2931301,4.8,3.8
"Teixeira de Freitas",2931350,4.9,4.8
"Teodoro Sampaio",2931400,3.8,3.8
"Teofilândia",2931509,4.4,4
"Teolândia",2931608,3.9,3.9
"Terra Nova",2931707,4,4.1
"Tremedal",2931806,4.5,4.2
"Tucano",2931905,5,4.2
"Uauá",2932002,4.7,4.8
"Ubaíra",2932101,4.4,3.9
"Ubaitaba",2932200,4.6,4.5
"Ubatã",2932309,4,3.8
"Uibaí",2932408,4.7,4.4
"Umburanas",2932457,4.2,4
"Una",2932507,4.4,4.2
"Urandi",2932606,5.4,4.5
"Uruçuca",2932705,3.8,3.7
"Utinga",2932804,4.4,3.5
"Valença",2932903,3.9,4.2
"Valente",2933000,4.9,4.1
"Várzea da Roça",2933059,3.8,4.3
"Várzea do Poço",2933109,3.7,3.7
"Várzea Nova",2933158,4.2,4.2
"Varzedo",2933174,4.6,3.6
"Vera Cruz",2933208,4.1,4.2
"Vereda",2933257,4.9,3.7
"Vitória da Conquista",2933307,4.1,4.6
"Wagner",2933406,5.3,4.5
"Wanderley",2933455,5.4,3.5
"Wenceslau Guimarães",2933505,3.1,3.8
"Xique-Xique",2933604,4.3,4
"Abadia dos Dourados",3100104,6.8,6.2
"Abaeté",3100203,6.9,6.1
"Abre Campo",3100302,6.6,6
"Acaiaca",3100401,6.4,5.3
"Açucena",3100500,5.7,5.4
"Água Boa",3100609,6.2,5.3
"Água Comprida",3100708,6.2,5.3
"Aguanil",3100807,7,5.9
"Águas Formosas",3100906,5.8,4.8
"Águas Vermelhas",3101003,5.5,4.8
"Aimorés",3101102,6.1,5.3
"Aiuruoca",3101201,6.4,5.7
"Alagoa",3101300,6.1,6.1
"Albertina",3101409,7,5.5
"Além Paraíba",3101508,5.6,5.1
"Alfenas",3101607,6.6,5.7
"Alfredo Vasconcelos",3101631,6.4,6
"Almenara",3101706,4.8,4.7
"Alpercata",3101805,5.5,4.9
"Alpinópolis",3101904,6.7,6.7
"Alterosa",3102001,6.7,6
"Alto Caparaó",3102050,6,5.4
"Alto Rio Doce",3102100,6.2,5.6
"Alvarenga",3102209,0,6
"Alvinópolis",3102308,6.1,5.7
"Alvorada de Minas",3102407,6.1,4.7
"Amparo do Serra",3102506,5.7,5
"Andradas",3102605,6.6,6.3
"Cachoeira de Pajeú",3102704,5.8,4.6
"Andrelândia",3102803,6.4,5.3
"Angelândia",3102852,6.5,5
"Antônio Carlos",3102902,6.6,5.7
"Antônio Dias",3103009,6.7,5.3
"Antônio Prado de Minas",3103108,0,6.7
"Araçaí",3103207,5.9,5.3
"Aracitaba",3103306,4.2,5
"Araçuaí",3103405,5.7,5.6
"Araguari",3103504,6.2,6
"Arantina",3103603,5,5.4
"Araponga",3103702,5.6,5.4
"Araporã",3103751,5.3,5.1
"Arapuá",3103801,8,7.1
"Araújos",3103900,6.7,6.4
"Araxá",3104007,6.6,6.2
"Arceburgo",3104106,6.4,5.5
"Arcos",3104205,6.9,6.5
"Areado",3104304,6.8,5.9
"Argirita",3104403,5.6,5.5
"Aricanduva",3104452,7.2,6.5
"Arinos",3104502,5.6,4.9
"Astolfo Dutra",3104601,6,5.5
"Ataléia",3104700,5.9,4.4
"Augusto de Lima",3104809,5.3,5.6
"Baependi",3104908,6.5,5.6
"Baldim",3105004,6.9,5.8
"Bambuí",3105103,7.1,6.1
"Bandeira",3105202,0,4.9
"Bandeira do Sul",3105301,6.7,5.6
"Barão de Cocais",3105400,5.9,5.8
"Barão de Monte Alto",3105509,5.4,5.6
"Barbacena",3105608,6.6,6.2
"Barra Longa",3105707,5.9,5.5
"Barroso",3105905,6.7,6.2
"Bela Vista de Minas",3106002,5.6,5
"Belmiro Braga",3106101,0,4.6
"Belo Horizonte",3106200,6.2,5.9
"Belo Oriente",3106309,6.1,5.4
"Belo Vale",3106408,6.4,5.9
"Berilo",3106507,6.3,5.5
"Bertópolis",3106606,6.1,4.5
"Berizal",3106655,5.4,4.4
"Betim",3106705,6,5.8
"Bias Fortes",3106804,5.4,5.6
"Bicas",3106903,5.7,5.5
"Biquinhas",3107000,0,5.9
"Boa Esperança",3107109,6.4,6.1
"Bocaina de Minas",3107208,6.2,4.6
"Bocaiúva",3107307,6.4,5.8
"Bom Despacho",3107406,6.3,5.8
"Bom Jardim de Minas",3107505,5.4,5.1
"Bom Jesus da Penha",3107604,6.9,6.9
"Bom Jesus do Amparo",3107703,5.9,5.5
"Bom Jesus do Galho",3107802,5.7,5.5
"Bom Repouso",3107901,5.9,5.8
"Bom Sucesso",3108008,6.9,5.7
"Bonfim",3108107,6.4,6
"Bonfinópolis de Minas",3108206,6.4,6.1
"Bonito de Minas",3108255,5.5,4.6
"Borda da Mata",3108305,6.7,6.4
"Botelhos",3108404,6.4,6.4
"Botumirim",3108503,5.4,4.5
"Brasilândia de Minas",3108552,6,5
"Brasília de Minas",3108602,6.5,5.3
"Brás Pires",3108701,6.6,6.4
"Braúnas",3108800,0,5.4
"Brazópolis",3108909,6.4,5.5
"Brumadinho",3109006,6.5,6.3
"Bueno Brandão",3109105,6.7,5.9
"Buenópolis",3109204,5.6,5
"Bugre",3109253,6.5,5.7
"Buritis",3109303,5.6,4.9
"Buritizeiro",3109402,5.6,5
"Cabeceira Grande",3109451,5.2,4.8
"Cabo Verde",3109501,6.5,6
"Cachoeira da Prata",3109600,5,6.9
"Cachoeira de Minas",3109709,7.1,6.5
"Cachoeira Dourada",3109808,5.9,6.1
"Caetanópolis",3109907,6.5,5.7
"Caeté",3110004,6.2,5.8
"Caiana",3110103,5.6,5
"Cajuri",3110202,5.4,5.3
"Caldas",3110301,6.3,6.2
"Camacho",3110400,6.8,5.3
"Camanducaia",3110509,5.4,5.6
"Cambuí",3110608,6.5,6.1
"Cambuquira",3110707,6.2,5.3
"Campanário",3110806,4.8,4.4
"Campanha",3110905,5.4,5.6
"Campestre",3111002,6.7,5.8
"Campina Verde",3111101,6.6,5.9
"Campo Azul",3111150,6.3,5
"Campo Belo",3111200,6.4,5.6
"Campo do Meio",3111309,7.6,5.4
"Campo Florido",3111408,4.8,5.4
"Campos Altos",3111507,6.3,6.3
"Campos Gerais",3111606,6.4,6
"Canaã",3111705,0,5
"Canápolis",3111804,6.5,5.8
"Cana Verde",3111903,6.2,5.6
"Candeias",3112000,6.2,5.9
"Cantagalo",3112059,5.8,5.4
"Caparaó",3112109,5.6,4.8
"Capela Nova",3112208,6.1,6.1
"Capelinha",3112307,6.7,5.7
"Capetinga",3112406,5.8,5.7
"Capim Branco",3112505,5.7,5.9
"Capinópolis",3112604,6.1,5.8
"Capitão Andrade",3112653,5.6,5.5
"Capitão Enéas",3112703,4.6,4.8
"Capitólio",3112802,6.9,6.7
"Caputira",3112901,5.9,4.8
"Caraí",3113008,5.4,4.4
"Caranaíba",3113107,6.2,5.8
"Carandaí",3113206,6.7,5.9
"Carangola",3113305,5.6,5.5
"Caratinga",3113404,6.3,5.7
"Carbonita",3113503,5.4,5.9
"Careaçu",3113602,5.7,5.7
"Carlos Chagas",3113701,5.6,4.9
"Carmésia",3113800,5.7,5.3
"Carmo da Cachoeira",3113909,6,5.2
"Carmo da Mata",3114006,6.7,6.2
"Carmo de Minas",3114105,6,5.5
"Carmo do Cajuru",3114204,6.4,6.5
"Carmo do Paranaíba",3114303,6.8,6
"Carmo do Rio Claro",3114402,6.7,6.4
"Carmópolis de Minas",3114501,6.6,6.2
"Carneirinho",3114550,5.5,5.9
"Carrancas",3114600,5.4,5.8
"Carvalhópolis",3114709,7.5,5.7
"Carvalhos",3114808,7,4.3
"Casa Grande",3114907,6.6,5.6
"Cascalho Rico",3115003,6.7,5.2
"Cássia",3115102,6.2,5.9
"Conceição da Barra de Minas",3115201,6.5,5.7
"Cataguases",3115300,5.8,6
"Catas Altas",3115359,5.5,5.9
"Catas Altas da Noruega",3115409,5.9,5.7
"Catuji",3115458,5.7,4
"Catuti",3115474,6,4.9
"Caxambu",3115508,5.7,5.4
"Cedro do Abaeté",3115607,0,5.9
"Central de Minas",3115706,6.3,4.9
"Centralina",3115805,6.4,5.7
"Chácara",3115904,0,5.6
"Chalé",3116001,5.7,5.5
"Chapada do Norte",3116100,5.6,4.9
"Chapada Gaúcha",3116159,6.3,4.8
"Chiador",3116209,0,5.4
"Cipotânea",3116308,5.9,5.5
"Claraval",3116407,5.9,5.6
"Claro dos Poções",3116506,5.6,5.6
"Cláudio",3116605,7,6.2
"Coimbra",3116704,6.6,6.1
"Coluna",3116803,6.7,5.5
"Comendador Gomes",3116902,5.6,5.1
"Comercinho",3117009,5.4,4.1
"Conceição da Aparecida",3117108,7.1,6.5
"Conceição das Pedras",3117207,6.8,5.4
"Conceição das Alagoas",3117306,5.5,5.7
"Conceição de Ipanema",3117405,0,5.3
"Conceição do Mato Dentro",3117504,5.5,5.3
"Conceição do Pará",3117603,6.4,5.7
"Conceição do Rio Verde",3117702,5.6,5.4
"Conceição dos Ouros",3117801,6.6,6.1
"Cônego Marinho",3117836,4.9,4.4
"Confins",3117876,6,5.3
"Congonhal",3117900,6.4,6
"Congonhas",3118007,6.5,6
"Congonhas do Norte",3118106,5.6,4.8
"Conquista",3118205,4.9,4.7
"Conselheiro Lafaiete",3118304,6.5,6.2
"Conselheiro Pena",3118403,6.4,5.4
"Consolação",3118502,0,5.5
"Contagem",3118601,5.9,6
"Coqueiral",3118700,6.5,6.1
"Coração de Jesus",3118809,6.3,5.5
"Cordisburgo",3118908,6.3,5.6
"Cordislândia",3119005,6,5.5
"Corinto",3119104,6,5.1
"Coroaci",3119203,6.2,5.3
"Coromandel",3119302,6.9,6.4
"Coronel Fabriciano",3119401,6.4,5.6
"Coronel Murta",3119500,6.2,4.9
"Coronel Pacheco",3119609,6.2,5.3
"Coronel Xavier Chaves",3119708,6.7,6.5
"Córrego Danta",3119807,7.1,6.7
"Córrego do Bom Jesus",3119906,7.1,6.3
"Córrego Fundo",3119955,7.4,5.9
"Córrego Novo",3120003,5.8,5.3
"Couto de Magalhães de Minas",3120102,5.8,5.3
"Crisólita",3120151,5,4.5
"Cristais",3120201,6.7,5.4
"Cristália",3120300,5.6,4.6
"Cristiano Otoni",3120409,6,5.9
"Cristina",3120508,6.2,5.4
"Crucilândia",3120607,6.3,5.6
"Cruzeiro da Fortaleza",3120706,6.3,5.6
"Cruzília",3120805,6.9,5.9
"Cuparaque",3120839,5.3,4.9
"Curral de Dentro",3120870,5.8,4.7
"Curvelo",3120904,6,5.4
"Datas",3121001,6.2,5.4
"Delfim Moreira",3121100,6.6,5.3
"Delfinópolis",3121209,6.2,6.1
"Delta",3121258,5.1,5.8
"Descoberto",3121308,6.4,5.6
"Desterro de Entre Rios",3121407,6.8,5.6
"Desterro do Melo",3121506,6.8,6
"Diamantina",3121605,6,5.7
"Diogo de Vasconcelos",3121704,6,5.4
"Dionísio",3121803,6.1,5.5
"Divinésia",3121902,6.1,5.5
"Divino",3122009,5.6,5.1
"Divino das Laranjeiras",3122108,5.3,5.1
"Divinolândia de Minas",3122207,6.6,5.8
"Divinópolis",3122306,6.7,6.2
"Divisa Alegre",3122355,5.4,5.5
"Divisa Nova",3122405,6.4,5.5
"Divisópolis",3122454,5.8,5.1
"Dom Bosco",3122470,6.4,4.8
"Dom Cavati",3122504,6.3,6
"Dom Joaquim",3122603,5.9,5.4
"Dom Silvério",3122702,7.4,5.7
"Dom Viçoso",3122801,0,6.7
"Dona Eusébia",3122900,6.5,6.1
"Dores de Campos",3123007,6.6,6
"Dores de Guanhães",3123106,5.2,5.5
"Dores do Indaiá",3123205,6.7,5.6
"Dores do Turvo",3123304,7.7,5.5
"Doresópolis",3123403,0,6
"Douradoquara",3123502,6.4,6.7
"Durandé",3123528,6.1,5.2
"Elói Mendes",3123601,5.8,5.8
"Engenheiro Caldas",3123700,6,5.2
"Engenheiro Navarro",3123809,5.7,5.7
"Entre Folhas",3123858,6.4,4.7
"Entre Rios de Minas",3123908,6.8,6.2
"Ervália",3124005,6.1,6
"Esmeraldas",3124104,5.5,5.6
"Espera Feliz",3124203,6.1,5.8
"Espinosa",3124302,6.2,5.6
"Espírito Santo do Dourado",3124401,6.9,6
"Estiva",3124500,6.2,5.7
"Estrela Dalva",3124609,6.7,4.6
"Estrela do Indaiá",3124708,0,5.7
"Estrela do Sul",3124807,6.5,5.8
"Eugenópolis",3124906,6.1,6
"Ewbank da Câmara",3125002,5.7,5.5
"Extrema",3125101,6.4,6
"Fama",3125200,5.2,5.6
"Faria Lemos",3125309,5.8,6
"Felício dos Santos",3125408,5.5,5.4
"São Gonçalo do Rio Preto",3125507,5.6,5.2
"Felisburgo",3125606,5.4,4.3
"Felixlândia",3125705,5.3,5.8
"Fernandes Tourinho",3125804,6.2,5.3
"Ferros",3125903,6.2,5.9
"Fervedouro",3125952,6.1,5.2
"Florestal",3126000,7.3,6.1
"Formiga",3126109,6.7,6.6
"Formoso",3126208,5.7,4.7
"Fortaleza de Minas",3126307,6.3,5.8
"Fortuna de Minas",3126406,6.9,6
"Francisco Badaró",3126505,6.2,5.6
"Francisco Dumont",3126604,5.2,5
"Francisco Sá",3126703,5.6,4.8
"Franciscópolis",3126752,5.8,4.5
"Frei Gaspar",3126802,5.9,4.6
"Frei Inocêncio",3126901,5.6,4.7
"Frei Lagonegro",3126950,0,5.1
"Fronteira",3127008,6.2,4.9
"Fronteira dos Vales",3127057,5.3,4.3
"Fruta de Leite",3127073,5.7,4.6
"Frutal",3127107,6,6
"Funilândia",3127206,5.5,6
"Galiléia",3127305,6,4.4
"Gameleiras",3127339,5.1,4.3
"Glaucilândia",3127354,5.5,5
"Goiabeira",3127370,5.4,4.9
"Goianá",3127388,6.2,6.1
"Gonçalves",3127404,7.4,5.4
"Gonzaga",3127503,0,4.7
"Gouveia",3127602,6.6,6.3
"Governador Valadares",3127701,6,5.2
"Grão Mogol",3127800,6,4.9
"Grupiara",3127909,6.2,5.7
"Guanhães",3128006,6.3,5.5
"Guapé",3128105,6.9,5.9
"Guaraciaba",3128204,5.6,5.6
"Guaraciama",3128253,5.6,5
"Guaranésia",3128303,6.3,6.3
"Guarani",3128402,6.1,5.9
"Guarará",3128501,5.4,5.4
"Guarda-Mor",3128600,6.4,5.5
"Guaxupé",3128709,6.6,6.3
"Guidoval",3128808,5.9,6.3
"Guimarânia",3128907,6.7,5.7
"Guiricema",3129004,6.9,6.4
"Gurinhatã",3129103,6.2,5.4
"Heliodora",3129202,6.5,5.1
"Iapu",3129301,6.1,4.8
"Ibertioga",3129400,6.2,5.9
"Ibiá",3129509,6.5,6
"Ibiaí",3129608,5.2,4.9
"Ibiracatu",3129657,5.7,4.8
"Ibiraci",3129707,6.1,6
"Ibirité",3129806,5.8,5.6
"Ibitiúra de Minas",3129905,6.9,5.9
"Ibituruna",3130002,6,5.1
"Icaraí de Minas",3130051,5.8,4.3
"Igarapé",3130101,6.1,5.9
"Igaratinga",3130200,6.5,6.1
"Iguatama",3130309,6.5,6.5
"Ijaci",3130408,6.3,5.3
"Ilicínea",3130507,6.2,5.7
"Imbé de Minas",3130556,6,4.6
"Inconfidentes",3130606,6.5,5.7
"Indaiabira",3130655,6.2,4.9
"Indianópolis",3130705,5.8,4.9
"Ingaí",3130804,5.8,5.1
"Inhapim",3130903,6.9,6.2
"Inhaúma",3131000,6.2,4.9
"Inimutaba",3131109,5.8,5.2
"Ipaba",3131158,6,5.4
"Ipanema",3131208,6.7,5.6
"Ipatinga",3131307,6.4,5.6
"Ipiaçu",3131406,6.1,5.8
"Ipuiúna",3131505,6.2,6.3
"Iraí de Minas",3131604,6.8,5.6
"Itabira",3131703,6.4,5.6
"Itabirinha",3131802,5.9,5.8
"Itabirito",3131901,6.7,6.2
"Itacambira",3132008,6.9,5.2
"Itacarambi",3132107,5.4,4.8
"Itaguara",3132206,6.9,6.8
"Itaipé",3132305,5.2,4.4
"Itajubá",3132404,6.5,6
"Itamarandiba",3132503,6.8,6
"Itamarati de Minas",3132602,6.5,5.2
"Itambacuri",3132701,5.2,4.7
"Itambé do Mato Dentro",3132800,0,6
"Itamogi",3132909,6.6,6.3
"Itamonte",3133006,6,5.5
"Itanhandu",3133105,6.4,6.1
"Itanhomi",3133204,5.9,5.6
"Itaobim",3133303,5.9,4.7
"Itapagipe",3133402,6.3,6
"Itapecerica",3133501,6.7,5.5
"Itapeva",3133600,5.9,5.8
"Itatiaiuçu",3133709,6.4,5.5
"Itaú de Minas",3133758,6.8,6.4
"Itaúna",3133808,7.1,6.3
"Itaverava",3133907,6.2,5.2
"Itinga",3134004,5.3,4.5
"Itueta",3134103,6.5,6.2
"Ituiutaba",3134202,6.3,5.9
"Itumirim",3134301,5.6,5.6
"Iturama",3134400,6.4,5.7
"Itutinga",3134509,6.4,5.8
"Jaboticatubas",3134608,5.4,5.5
"Jacinto",3134707,5,4.8
"Jacuí",3134806,7.1,6.1
"Jacutinga",3134905,6.6,5.5
"Jaguaraçu",3135001,6,4.7
"Jaíba",3135050,5.5,5.1
"Jampruca",3135076,4.5,5
"Janaúba",3135100,6,5.2
"Januária",3135209,5.3,5.1
"Japaraíba",3135308,7.1,6.4
"Japonvar",3135357,6.5,4.7
"Jeceaba",3135407,4.9,6
"Jenipapo de Minas",3135456,5.6,4.8
"Jequeri",3135506,5.5,4.8
"Jequitaí",3135605,5.9,5.3
"Jequitibá",3135704,5.8,4.9
"Jequitinhonha",3135803,5.2,5.2
"Jesuânia",3135902,6.4,5.5
"Joaíma",3136009,5.3,4.6
"Joanésia",3136108,6.2,4.9
"João Monlevade",3136207,6.7,6.3
"João Pinheiro",3136306,6.3,5.8
"Joaquim Felício",3136405,4.6,5.4
"Jordânia",3136504,5.8,5.3
"José Gonçalves de Minas",3136520,7.1,6.2
"José Raydan",3136553,6.7,4.3
"Josenópolis",3136579,5.1,4.6
"Nova União",3136603,5.9,5.4
"Juatuba",3136652,6.4,6
"Juiz de Fora",3136702,5.4,5.7
"Juramento",3136801,5.5,5.5
"Juruaia",3136900,6.3,6.3
"Juvenília",3136959,5.3,4.7
"Ladainha",3137007,5.3,4.6
"Lagamar",3137106,6.2,6.5
"Lagoa da Prata",3137205,7.4,6.1
"Lagoa dos Patos",3137304,5.2,5
"Lagoa Dourada",3137403,7,6.3
"Lagoa Formosa",3137502,7.2,6.9
"Lagoa Grande",3137536,6.3,6.1
"Lagoa Santa",3137601,6.3,5.8
"Lajinha",3137700,5.9,5.7
"Lambari",3137809,6.9,6.3
"Lamim",3137908,7.5,5.8
"Laranjal",3138005,5.8,5.8
"Lassance",3138104,5.4,4.7
"Lavras",3138203,6.1,5.8
"Leandro Ferreira",3138302,7.1,5.9
"Leme do Prado",3138351,6.8,6.2
"Leopoldina",3138401,5.8,5.1
"Liberdade",3138500,5.7,5.5
"Lima Duarte",3138609,5.8,6
"Limeira do Oeste",3138625,5.9,5.6
"Lontra",3138658,6.3,4.8
"Luisburgo",3138674,6,5.4
"Luislândia",3138682,6.4,5.5
"Luminárias",3138708,5.8,5.8
"Luz",3138807,6.4,5.8
"Machacalis",3138906,5.5,5
"Machado",3139003,6.9,6
"Madre de Deus de Minas",3139102,6.1,5.2
"Malacacheta",3139201,6,4.6
"Mamonas",3139250,5.2,4.9
"Manga",3139300,4.9,5
"Manhuaçu",3139409,6.2,5.5
"Manhumirim",3139508,5.4,5.6
"Mantena",3139607,6.3,5.6
"Maravilhas",3139706,6.2,5.6
"Mar de Espanha",3139805,5.9,5.8
"Maria da Fé",3139904,6,5.3
"Mariana",3140001,6.1,5.6
"Marilac",3140100,5.4,4
"Mário Campos",3140159,5.6,5.8
"Maripá de Minas",3140209,6.1,6.2
"Marliéria",3140308,0,5.5
"Marmelópolis",3140407,7.4,4.9
"Martinho Campos",3140506,6.7,6
"Martins Soares",3140530,6,5.4
"Mata Verde",3140555,5.5,5
"Materlândia",3140605,5.7,5.4
"Mateus Leme",3140704,6,5.8
"Matias Barbosa",3140803,5.1,5.3
"Matias Cardoso",3140852,5.2,4.4
"Matipó",3140902,5.7,5.5
"Mato Verde",3141009,6,5.8
"Matozinhos",3141108,6.3,5.8
"Matutina",3141207,7,5.7
"Medeiros",3141306,7.2,6.7
"Medina",3141405,5.5,4.9
"Mendes Pimentel",3141504,6.3,5.3
"Mercês",3141603,6.3,5.9
"Mesquita",3141702,4.9,5.7
"Minas Novas",3141801,6.5,5.6
"Minduri",3141900,5.4,5.4
"Mirabela",3142007,5.4,5
"Miradouro",3142106,6.6,5.4
"Miraí",3142205,6,5.5
"Miravânia",3142254,5.2,4.2
"Moeda",3142304,6.4,5.9
"Moema",3142403,7.1,6.5
"Monjolos",3142502,0,4.9
"Monsenhor Paulo",3142601,7.2,6.4
"Montalvânia",3142700,6.3,5
"Monte Alegre de Minas",3142809,5.6,5.7
"Monte Azul",3142908,6.3,5.5
"Monte Belo",3143005,6.3,6.3
"Monte Carmelo",3143104,6.8,6.3
"Monte Formoso",3143153,0,5
"Monte Santo de Minas",3143203,6.1,5.5
"Montes Claros",3143302,6.2,5.9
"Monte Sião",3143401,6.7,6.2
"Montezuma",3143450,5.7,5.1
"Morada Nova de Minas",3143500,6.6,6
"Morro da Garça",3143609,6.1,5.5
"Morro do Pilar",3143708,6,5.1
"Munhoz",3143807,5.5,4.8
"Muriaé",3143906,6.4,6.1
"Mutum",3144003,6.8,5.5
"Muzambinho",3144102,6.5,6.2
"Nacip Raydan",3144201,5.4,4.2
"Nanuque",3144300,5.4,5.1
"Naque",3144359,5.5,4.4
"Natalândia",3144375,5.9,5.1
"Natércia",3144409,6.5,5.7
"Nazareno",3144508,6.2,5.8
"Nepomuceno",3144607,6.5,5.7
"Ninheira",3144656,5.8,4.4
"Nova Belém",3144672,5.2,4.7
"Nova Era",3144706,6.2,5.6
